35,Kasaragod ,,Kasaragod,,Kasaragod,K615,,,IDIB000K615,19.07.2021,"DR Prabhu Compound,Sri Devi Complex,Near New Bus Stand,Kasargod,Kerala-671121",4994230324,KASARGOD@INDIANBANK.CO.IN,Bengaluru,Kozhikode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Chalai,M143,Trivandrum,T608,Chalai,M143,IB,07.10.2020,IDIB000M143,07.10.2020,"TC 38/2560 (1) ARYASALA JN, CHALAI PO, THIRUVANANTHAPURAM, KERALA- 695036",04712476695,chalai@indianbank.co.in,Bengaluru,Thiruvananthapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Ramankulangara,R108,Kollam,K780,Ramankulangara,R108,IB,07.10.2020,IDIB000R108,07.10.2020,"GROUND FLOOR, SHIVAGIRI TOWER, VELLAYITTAMBALAM, RAMANKULANGARA, KAVANAD P.O., KOLLAM, KERALA- 691003",04742797070 ,ramankulangara@indianbank.co,Bengaluru,Thiruvananthapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Bhawanipatna,B107,Bhawanipatna,B778,Bhawanipatna,B107,IB,14.10.2020,IDIB000B107,14.10.2020,"PLOT NO 1552, JAGANNATH TEMPLE ROAD, BHAWANI PATNA, KALAHANDI, ORISSA -766001",06670-231858,bhawanipatna@indianbank.co.in,Bhubaneswar,Berhampur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Boudh,B046,Boudh,B869,Boudh,B869,eAB,19.10.2020,IDIB000B869,19.10.2020,"BAUDH, SHIBANI MARKET, BAUDH 762014",07869094700,BOUDH@indianbank.co.in,Bhubaneswar,Berhampur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Koraput,K064,Koraput,K792,Koraput,K064,IB,15.10.2020,IDIB000K064,15.10.2020,"P B No.11, PUCHILA STREET,KORAPUT, ORISSA- 764020",06852-250208,koraput@indianbank.co.in,Bhubaneswar,Berhampur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Phulbani,P189,Phulbani,P640,Phulbani,P189,IB,22.03.2021,IDIB000P189,22.03.2021,"JIRINGIPADA, PRAKRUTI, BIHAR MAIN ROAD, PHULBANI, KANDHAMAL, ORISSA -762001",06842253064,phulbani@indianbank.co.in,Bhubaneswar,Berhampur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Neemuch,,Neemuch,,Neemuch,N576,,,IDIB000N576,09.08.2021,"38 VEER PARK ROAD NEEMUCH, Madhya Pradesh-458441",7423222565,neemuch.N576@indianbank.co.in,Bhubaneswar,Bhopal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Bhopal Main Branch,,Habibganj Bhopal ,,Bhopal Main Branch,B798,,,IDIB000B798,16.08.2021,"PLOT 171 ZONE IINEAR SARGAM TALKIES MAHARANA PRATAP NAGAR,MadhyaPradesh-462011",7557577885,bhopal@indianbank.co.in,Bhubaneswar,Bhopal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Gwalior,G025,Gwalior,G665,Gwalior,G025,IB,24.09.2020,IDIB000G025,24.09.2020,"752, INDERGANJ SQUARE LASHKAR, JAYANENDRA GANJ, GWALIOR, MADHYA PRADESH - 474009",0751 2323498,gwalior@indianbank.co.in,Bhubaneswar,Bhopal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Kalani Nagar, Indore",K235,Indore Airport Road,A543,"Kalani Nagar, Indore",K235,IB,23.09.2020,IDIB000K235,23.09.2020,"SHOP No. 2, BLOCK A, SITA SHREE RESIDENCY, AIRPORT ROAD, KALANI NAGAR, INDORE, MADHYA PRADESH -452005",0731 2613467,kalaninagar@indianbank.co.in,Bhubaneswar,Bhopal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Mandsaur,M212,Mandsaur,M599,Mandsaur,M212,IB,24.09.2020,IDIB000M212,24.09.2020,"TIRUPATI PLAZA, STATION ROAD, MANDSAUR, MADHYA PRADESH-  458001",07422 220054,mandsaur@indianbank.co.in,Bhubaneswar,Bhopal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Morena,M234,Morena,M749,Morena,M749,eAB,22.09.2020,IDIB000M749,22.09.2020,"M S ROAD, SURVEY NO 433, G P COMPLEX, NEAR MICROWAVE TOWER, MADHYA PRADESH - 476001",0732225005,Morena.M749@indianbank.co.in,Bhubaneswar,Bhopal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bhubaneswar Main ,B024,Ashok Nagar ,A663,Bhubaneswar Main ,B024,IB,03.03.2021,IDIB000B024,03.03.2021,"32, JANPATH ASHOK NAGAR, UNIT II, BHUBANESWAR, KHURDA, ORISSA- 751009",06742531645 ,bhubaneswar@indianbank.co.in,Bhubaneswar,Bhubaneshwar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Dindori,D070,Dindori,D648,Dindori,D648,eAB,25.08.2020,IDIB000D648,25.08.2020,"NEAR PETROLIUM COMPANY MAIN ROAD DINDORIPOST AND TEHSIL DINDORI DISTRICT DINDORI STATE, MAIN ROAD,BESIDE HDFC BANK, DINDORI MADHYA PRADESH 481880 ",0764425402,Dindori.D648@indianbank.co.in,Bhubaneswar,Jabalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Hoshangabad,H042,Hoshangabad,H583,Hoshangabad,H583,eAB,31.08.2020,IDIB000H583,31.08.2020,PLOT NO 12/1 WARD NO 11 NEAR HERO HONDA SHOW ROOM JANAKPURI HOSANGABAD POST TEHSIL BLOCK DISTRICT HOSANGABAD  MADHYA PRADESH 461001,07574251070,Hoshangabad.H583@indianbank.co.in,Bhubaneswar,Jabalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Itarsi,I087,Itarsi,I543,Itarsi,I543,eAB,31.08.2020,IDIB000I543,31.08.2020,"4th LANE, AZAD NAGAR, NEAR MASJID, ITARSI, HOSHANGABAD DISTRICT MADHYA PRADESH 461111",07572240311,Itarsi.I543@indianbank.co.in,Bhubaneswar,Jabalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Narsinghpur,N166,Narsimhpur,N550,Narsimhpur,N550,eAB,27.08.2020,IDIB000N550,27.08.2020,"NARSHINGHPUR PALIWAL BUILDING BUS STAND,OLD BUS STAND, NARSINGHPUR DISTRICT, MADHYA PRADESH- 487001",07000695692,narsinghpur@indianbank.co.in,Bhubaneswar,Jabalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Sagar (MP),S044,Sagar,S512,Sagar,S512,eAB,07.09.2020,IDIB000S512,07.09.2020,"GANGA COMPLEX NAMAK MANDI KATRA BAZAR DIST SAGAR KATRA ABZAR,SAGAR, MADHYA PRADESH-470002",07582244471,sagar.S512@indianbank.co.in,Bhubaneswar,Jabalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Mahasamund,M302,Mahasamund,M541,Mahasamund,M302,IB,11.01.2021,IDIB000M302,11.01.2021,"DOOR NO 116, PURANA RAIPUR NAKA, RAIPUR ROAD, WARD NO 12, MAHASAMUND, CHHATTISGARH- 493445",07723 224333,mahasamund@indianbank.co,Bhubaneswar,Raipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Bargarh,B105,Bargarh,B662,Bargarh,B105,IB,02.11.2020,IDIB000B105,02.11.2020,"SHASHI BHUSAN MARKET COMPLEX, HOSPITAL ROAD, BARGARH, ORISSA - 768028",06646-233250,bargarh@indianbank.co.in,Bhubaneswar,Sambalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Sonepur,S194,Sonepur,S752,Sonepur,S194,IB,26.04.2021,IDIB000S194,26.04.2021,"BADBAZAR MAIN ROAD, MADAN SUPER MARKET, SONEPUR, SUBARNAPUR, ORISSA - 767017",06654220105,sonepur@indianbank.co.in,Bhubaneswar,Sambalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Satna,S196,Umari (Satna),U520,Umari (Satna),U520,eAB,14.10.2020,IDIB000U520,14.10.2020,"DIST SATNA, PANNA RD,RAJENDRANAGAR,UMARI,SATNA 485001",07672222333,umari@indianbank.co.in,Bhubaneswar,Satna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Garshankar,N101,Garshankar,G536,Garshankar,N101,IB,28.09.2020,IDIB000N101,28.09.2020,"RAILWAY ROAD, NEAR CHAMAK STEEL INDUSTIRES, GARHSHANKAR, HOSHIARPUR, PUNJAB - 144527",01884 283119,garhshankar@indianbank.co.in,Chandigarh,Amritsar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Faridkot,F007,Faridkot,B703,Faridkot,B703,eAB,09.11.2020,IDIB000B703,09.11.2020,"CIRCULAR ROAD, MASTER KRISHAN LAL RABRA COMPLEX MORI GATE, FARIDKOT, PUNJAB- 151203",01639252722 ,FARIDKOT.B703@indianbank.co.in,Chandigarh,Amritsar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Mahilpur,N103,Mahiilpur,M552,Mahiilpur,M552,eAB,28.09.2020,IDIB000M552,28.09.2020,"CHANDIGARH ROAD, WARD NO 4, DISTT HOSHIARPUR  MAHILPUR, PUNJAB 146105",01884248100,MAHILPUR.M552@indianbank.co.in,Chandigarh,Amritsar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Udhampur,U039,Udhampur,U509,Udhampur,U509,eAB,28.09.2020,IDIB000U509,28.09.2020,"DHAR ROAD(U.T.), NEAR RAJ THEATRE, WARD NO. 1 DHAR ROAD, JAMMU AND KASHMIR - 182101",01992272799,UDHAMPUR.U509@indianbank.co.in,Chandigarh,Amritsar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Phagwara,,Phagwara,,Phagwara,P632,,,IDIB000P632 ,31.05.2021,"HANDA COMPLEX,G T ROAD, PHAGWARA, KAPURTHALA- 144401",01824222693 ,P632@indianbank.co.in ,Chandigarh,Amritsar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Batala,,QC Batala,,QC Batala,B696,,,IDIB000B696 ,31.05.2021,"ALLAHABAD BANK QUADIAN CHUNGI BATALA, PUNJAB JALANDHAR ROAD, BATALA, GURDASPUR - 143 505",01871241583 ,BATALA.QUADIANCHUNGI@indianbank.co.in,Chandigarh,Amritsar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Firozpur,,Firozpur,,Firozpur,F519,,,IDIB000F519,31.05.2021,"OUTSIDE BAGDADI GATE, CIRCULAR ROAD, FEROZEPUR CITY, FIROZPUR - 152002 ",01632220210 ,FEROZEPUR@indianbank.co.in ,Chandigarh,Amritsar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Kharar,K314,Kharar,K686,Kharar,K686,eAB,03.11.2020,IDIB000K686,03.11.2020,"DESU MAJRA KHARAR, NH 21 ST WARYAM NAGAR, KHARAR DISTRICT MOHALI, PUNJAB-140301",01602286121,KHARAR.K686@indianbank.co.in ,Chandigarh,Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Kurali,K324,Kurali,K839,Kurali,K839,eAB,28.09.2020,IDIB000K839,28.09.2020,"NEAR HDFC BANK, KURALI, SHOW ROOM NO 225, WARD NO 9, CHANDIGARH AMRITSAR HIGHWAY, KURALI 140103",01602640722,KURALI.K839@indianbank.co.in,Chandigarh,Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Manimajra,M150,Manimajra,M614,Manimajra,M150,IB,03.11.2020,IDIB000M150,03.11.2020,"SCO 855 NAC Shivalik Enclave  Manimajra, CHANDIGARH 160101",01725061363,manimajra@indianbank.co.in,Chandigarh,Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Sangrur,S126,Sangrur,S568,Sangrur,S126,IB,02.11.2020,IDIB000S126,02.11.2020,"Outside Dhuri Gate, Opp. NAINA DEVI TEMPLE, NEAR BUS STAND, SANGRUR, PUNJAB -148001",01672501681,sangrur@indianbank.co.in,Chandigarh,Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Sector 34, Chandigarh",C073,"Sector 34, Chandigarh",S604,"Sector 34, Chandigarh",C073,IB,28.09.2020,IDIB000C073,28.09.2020,SCO 132-133     SECTOR 34 A      CHANDIGARH       SECTOR 34  CHANDIGARH (U T) 160022,01725029216,sector34chandigarh@indianbank.co.in,Chandigarh,Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
